lg_acc,lg_f1,lg_prec,dt_acc,dt_f1,dt_prec,knn_acc,knn_f1,knn_prec,rf_acc,rf_f1,rf_prec,svm_acc,svm_f1,svm_prec,xgb_acc,xgb_f1,xgb_prec
0.9222938582,0.9222938582,0.9226331863,0.8242280285,0.825585341,0.7964031218,0.885307092,0.885307092,0.885307092,0.8971835765,0.8934509671,0.9022734985,0.929419749,0.929419749,0.929419749,0.8998982016,0.8998982016,0.8998982016
0.9226331863,0.9226331863,0.9226331863,0.8259246692,0.8249066848,0.7974211062,0.8768238887,0.8768238887,0.8768238887,0.8934509671,0.8927723108,0.8941296233,0.923311843,0.923311843,0.923311843,0.9015948422,0.9015948422,0.9015948422
0.9226331863,0.9226331863,0.9226331863,0.8310145911,0.8310145911,0.7974211062,0.8517136071,0.8517136071,0.8517136071,0.8944689515,0.9012555141,0.9043094673,0.929419749,0.929419749,0.929419749,0.9043094673,0.9043094673,0.9043094673
0.9226331863,0.9226331863,0.9226331863,0.8310145911,0.8299966067,0.7964031218,0.8873430607,0.8873430607,0.8873430607,0.8998982016,0.890736342,0.8924329827,0.923311843,0.923311843,0.923311843,0.8968442484,0.8968442484,0.8968442484
0.9222938582,0.9222938582,0.9226331863,0.8245673566,0.825585341,0.7964031218,0.8873430607,0.8873430607,0.8873430607,0.8954869359,0.8992195453,0.8927723108,0.923311843,0.923311843,0.923311843,0.900916186,0.900916186,0.900916186
